Stage,Reference,Resource,File,Format,Accountable owner,Status
01 — Control uncertainty,CE018-SP-01,Use-Case and Controls Canvas,CE018_SP01_Use_Case_and_Controls_Canvas.docx,Word,Project Controls Lead (drafts) / NEC4 Project Manager (approves),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
01 — Control uncertainty,CE018-SP-02,Uncertainty and Dependency Register,CE018_SP02_Uncertainty_and_Dependency_Register.xlsx,Excel,Project Controls Lead (maintains) / NEC4 Project Manager (accepts residual uncertainty),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-03,Project AI Control Charter,CE018_SP03_Project_AI_Control_Charter.docx,Word,Charter owner / NEC4 Project Manager (approves the authority boundary),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-04,Approved Use-Case Register,CE018_SP04_Approved_Use_Case_Register.xlsx,Excel,Charter owner (approves) / Project Controls Lead (maintains),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-05,Data and Source Control Matrix,CE018_SP05_Data_and_Source_Control_Matrix.xlsx,Excel,Project Controls Lead (maintains) / record owners (confirm revisions),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-06,AI Toolbox Talk Checklist,CE018_SP06_AI_Toolbox_Talk_Checklist.docx,Word,Project Controls Lead (delivers) / accountable decision owner (confirms the boundary),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-07,Task Control Brief,CE018_SP07_Task_Control_Brief.docx,Word,Project Controls Lead (drafts and operates) / NEC4 Project Manager (approves),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-08,Managed Assistant Instructions Template,CE018_SP08_Managed_Assistant_Instructions_Template.docx,Word,"Project Controls Lead (maintains) / NEC4 Project Manager (approves sections 6, 7 and 11)",TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
02 — Govern AI use,CE018-SP-09,Authority and Escalation Matrix,CE018_SP09_Authority_and_Escalation_Matrix.xlsx,Excel,NEC4 Project Manager (approves) / Project Controls Lead (maintains),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
03 — Test the output,CE018-SP-10,Evidence and Source Register,CE018_SP10_Evidence_and_Source_Register.xlsx,Excel,Project Controls Lead (compiles) / record owners (confirm revisions),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
03 — Test the output,CE018-SP-11,Four-Test Assurance Checklist,CE018_SP11_Four_Test_Assurance_Checklist.xlsx,Excel,Project Controls Lead (runs the tests) / NEC4 Project Manager (receives),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
03 — Test the output,CE018-SP-12,Test and Acceptance Scorecard,CE018_SP12_Test_and_Acceptance_Scorecard.xlsx,Excel,Project Controls Lead (completes) / NEC4 Project Manager (receives),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
03 — Test the output,CE018-SP-13,Configured NEC4 Decision-Readiness Control Matrix,CE018_SP13_NEC4_Decision_Readiness_Control_Matrix.xlsx,Excel,NEC4 Project Manager (owns the configuration) / Project Controls Lead (runs the controls),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
03 — Test the output,CE018-SP-14,Evidence Exception Report,CE018_SP14_Evidence_Exception_Report.docx,Word,Project Controls Lead (prepares) / NEC4 Project Manager (receives),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
04 — Decide and learn,CE018-SP-15,Decision and Escalation Log,CE018_SP15_Decision_and_Escalation_Log.xlsx,Excel,Project Controls Lead (maintains) / NEC4 Project Manager (records the decision),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
04 — Decide and learn,CE018-SP-16,Corrective Action and Retest Register,CE018_SP16_Corrective_Action_and_Retest_Register.xlsx,Excel,Project Controls Lead (maintains) / named record owners (close the actions),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
04 — Decide and learn,CE018-SP-17,Assurance Lessons-Learned Record,CE018_SP17_Assurance_Lessons_Learned_Record.docx,Word,Project Controls Lead (compiles) / charter owner (accepts and actions),TEMPLATE (blank) + IFR — NOT APPROVED (worked example)
